site,Sx,Sy,Sz
45,8.066464163292153e-16,0j,-1.0058967547799114e-13
46,-1.6423494508810421e-15,0j,1.3923454403319546e-13
47,-2.998035847356917e-15,0j,-1.3002056029054465e-13
48,2.2197521598599224e-14,0j,1.3869894815998762e-13
49,-2.7908231281514873e-14,0j,-1.3485306621374704e-13
50,4.677248172102466e-14,0j,1.3283298072597205e-13
51,-5.203823483235226e-14,0j,-1.2695400286588665e-13
52,5.700965415890435e-14,0j,1.4682005611277305e-13
53,-5.83680646133386e-14,0j,-1.416991524116895e-13
54,4.081457394278232e-14,0j,1.6488546639159551e-13
55,-4.291705879566621e-14,0j,-1.5381099172095958e-13
56,6.325343894497681e-14,0j,1.5209361547974254e-13
57,-6.952077802324652e-14,0j,-1.497621471280297e-13
58,8.683223411132257e-14,0j,1.8405931076145854e-13
59,-8.142770312191683e-14,0j,-1.680591972010037e-13
60,7.915196276186975e-14,0j,1.647588315778492e-13
61,-7.319839179231735e-14,0j,-1.5442508383145537e-13
62,8.184425359658576e-14,0j,1.608179735212989e-13
63,-7.996207862515092e-14,0j,-1.4848647485188327e-13
64,1.2131962101591398e-13,0j,1.512436009765139e-13
65,-1.2179840469528358e-13,0j,-1.437946983706695e-13
66,1.381776637554566e-13,0j,1.805031818458147e-13
67,-1.4006504289731936e-13,0j,-1.7067250390745414e-13
68,1.3897216710745397e-13,0j,2.0145690671213856e-13
69,-1.3272022370003356e-13,0j,-1.9298451725546784e-13
70,1.1298427471384542e-13,0j,2.394343404099608e-13
71,-1.0925635396397126e-13,0j,-2.2433270518984472e-13
72,8.713385915570804e-14,0j,2.3360566953067874e-13
73,-8.480455920834018e-14,0j,-2.1932033012622698e-13
74,1.0438178099647644e-13,0j,2.709030916259181e-13
75,-9.540632173177244e-14,0j,-2.510266300381758e-13
76,7.92308926800267e-14,0j,2.35080184485259e-13
77,-6.977491501247712e-14,0j,-2.1686038381707462e-13
78,8.010259122670504e-14,0j,2.2056662052349907e-13
79,-7.235531618299262e-14,0j,-2.0550401658159245e-13
80,7.671207419290837e-14,0j,2.1820175874487369e-13
81,-7.090942416576596e-14,0j,-1.980434045922852e-13
82,7.533904056167273e-14,0j,2.3650829558685693e-13
83,-7.025803550053666e-14,0j,-2.1828589283345856e-13
84,9.362692912628923e-14,0j,2.578157956220628e-13
85,-9.50871326121927e-14,0j,-2.425335323200106e-13
86,1.0833174635127563e-13,0j,2.8634494948776013e-13
87,-1.0501668978868395e-13,0j,-2.633399141110937e-13
88,1.210346926849848e-13,0j,2.7703750751784106e-13
89,-1.1811211730883286e-13,0j,-2.5773979304977157e-13
90,1.3687315170152203e-13,0j,2.8904396237594554e-13
91,-1.3077733340693953e-13,0j,-2.662184708790427e-13
92,1.1463399673949937e-13,0j,2.699906270775543e-13
93,-1.0490219803926948e-13,0j,-2.4599072778741515e-13
94,8.955509944730267e-14,0j,2.5569997508245734e-13
95,-7.995340500777104e-14,0j,-2.376866065079142e-13
96,6.675909824949144e-14,0j,2.920927388849748e-13
97,-5.631259347715911e-14,0j,-2.713419766653402e-13
98,5.577135975265435e-14,0j,2.5756913962782235e-13
99,-4.7220907739564666e-14,0j,-2.3436894786010853e-13
100,-2.114313498585707e-14,0j,2.354881697627653e-13
101,3.392403545576794e-14,0j,-2.0935217535239525e-13
102,-5.07562741836054e-14,0j,2.0146037615909052e-13
103,6.103104133181603e-14,0j,-1.7943199009939903e-13
104,-3.51090684302946e-14,0j,9.919495780330578e-14
105,4.8390111362373034e-14,0j,-8.808925811010226e-14
106,-4.692080057822068e-14,0j,2.877212357255132e-14
107,5.515726764215856e-14,0j,-2.2235685515070713e-14
108,-6.943057240249573e-14,0j,-3.849351393192535e-15
109,7.018691183802162e-14,0j,5.681219383824043e-15
110,-1.0325768018404347e-13,0j,-6.549621955898033e-14
111,1.0788245297099763e-13,0j,6.405986852087153e-14
112,-1.1333295413251676e-13,0j,-9.212769436217627e-14
113,1.089545120791513e-13,0j,8.2050685690227e-14
114,-8.982051213912712e-14,0j,-8.87900863943969e-14
