node1,node2,energy,entanglement,error
71,326,0.0,1.0,0.0
72,327,0.0,1.0,0.0
73,328,0.0,0.9999999999999999,0.0
74,329,0.0,0.9999999999999998,0.0
75,330,0.0,0.9999999999999999,0.0
76,331,0.0,1.0,0.0
77,332,0.0,0.9999999999999998,0.0
78,333,0.0,0.9999999999999999,0.0
79,334,0.0,0.9999999999999998,0.0
80,335,0.0,1.0,0.0
81,336,0.0,0.9999999999999999,0.0
82,337,0.0,0.9999999999999998,0.0
83,338,0.0,1.0,0.0
84,339,0.0,1.0,0.0
85,340,0.0,0.9999999999999999,0.0
86,341,0.0,1.0,0.0
87,342,0.0,1.0,0.0
88,343,0.0,0.9999999999999999,0.0
89,344,0.0,0.9999999999999999,0.0
90,345,0.0,0.9999999999999999,0.0
91,346,0.0,1.0,0.0
92,347,0.0,1.0,0.0
93,348,0.0,1.0,0.0
94,349,0.0,0.9999999999999999,0.0
95,350,0.0,1.0,0.0
96,351,0.0,0.9999999999999999,0.0
97,352,0.0,1.0,0.0
98,353,0.0,1.0,0.0
99,354,0.0,1.0,0.0
100,355,0.0,1.0,0.0
101,356,0.0,0.9999999999999999,0.0
102,357,0.0,1.0,0.0
103,358,0.0,1.0,0.0
104,359,0.0,0.9999999999999999,0.0
105,360,0.0,1.0,0.0
106,361,0.0,1.0,0.0
107,362,0.0,0.9999999999999999,0.0
108,363,0.0,0.9999999999999998,0.0
109,364,0.0,0.9999999999999999,0.0
110,365,0.0,0.9999999999999999,0.0
111,366,0.0,1.0,0.0
112,367,0.0,1.0,0.0
113,368,0.0,1.0,0.0
114,369,0.0,0.9999999999999998,0.0
115,370,0.0,0.9999999999999999,0.0
116,371,0.0,0.9999999999999999,0.0
117,372,0.0,0.9999999999999999,0.0
118,373,0.0,0.9999999999999999,0.0
119,374,0.0,1.0,0.0
120,375,0.0,0.9999999999999999,0.0
121,376,0.0,0.9999999999999999,0.0
122,377,0.0,1.0,0.0
123,378,0.0,1.0,0.0
124,379,0.0,1.0,0.0
125,380,0.0,1.0,0.0
126,381,0.0,1.0,0.0
127,382,0.0,0.9999999999999999,0.0
128,383,0.0,1.0,0.0
129,384,0.0,1.0,0.0
130,385,0.0,0.9999999999999999,0.0
131,386,0.0,1.0,0.0
132,387,0.0,0.9999999999999998,0.0
133,388,0.0,1.0,0.0
134,389,0.0,1.0,0.0
135,390,0.0,1.0,0.0
136,391,0.0,1.0,0.0
137,392,0.0,0.9999999999999999,0.0
138,393,0.0,1.0,0.0
139,394,0.0,1.0,0.0
140,395,0.0,0.9999999999999998,0.0
141,396,0.0,1.0,0.0
142,397,0.0,0.9999999999999998,0.0
143,398,0.0,1.0,0.0
144,399,0.0,0.9999999999999999,0.0
145,400,0.0,1.0,0.0
146,401,0.0,1.0,0.0
147,402,0.0,0.9999999999999998,0.0
148,403,0.0,0.9999999999999998,0.0
149,404,0.0,0.9999999999999999,0.0
150,405,0.0,0.9999999999999999,0.0
151,406,0.0,0.9999999999999999,0.0
152,407,0.0,0.9999999999999999,0.0
153,408,0.0,1.0,0.0
154,409,0.0,0.9999999999999999,0.0
155,410,0.0,1.0,0.0
156,411,0.0,0.9999999999999999,0.0
157,412,0.0,1.0,0.0
158,413,0.0,1.0,0.0
159,414,0.0,1.0,0.0
160,415,0.0,0.9999999999999998,0.0
161,416,0.0,1.0,0.0
162,417,0.0,1.0,0.0
163,418,0.0,0.9999999999999999,0.0
164,419,0.0,0.9999999999999999,0.0
165,420,0.0,0.9999999999999999,0.0
166,421,0.0,1.0,0.0
167,422,0.0,1.0,0.0
168,423,0.0,0.9999999999999998,0.0
169,424,0.0,0.9999999999999999,0.0
170,425,0.0,0.9999999999999999,0.0
171,426,0.0,0.9999999999999999,0.0
172,427,0.0,0.9999999999999999,0.0
173,428,0.0,1.0,0.0
174,429,0.0,1.0,0.0
175,430,0.0,1.0,0.0
176,431,0.0,1.0,0.0
177,432,0.0,0.9999999999999998,0.0
178,433,0.0,1.0,0.0
179,434,0.0,0.9999999999999999,0.0
180,435,0.0,0.9999999999999998,0.0
181,436,0.0,1.0,0.0
182,437,0.0,1.0,0.0
183,438,0.0,1.0,0.0
184,439,0.0,0.9999999999999999,0.0
185,440,0.0,0.9999999999999998,0.0
186,441,0.0,0.9999999999999999,0.0
187,442,0.0,1.0,0.0
188,443,0.0,1.0,0.0
189,444,0.0,0.9999999999999999,0.0
190,445,0.0,0.9999999999999999,0.0
191,446,0.0,0.9999999999999999,0.0
192,447,0.0,0.9999999999999999,0.0
193,448,0.0,0.9999999999999998,0.0
194,449,0.0,1.0,0.0
195,450,0.0,1.0,0.0
196,451,0.0,1.0,0.0
197,452,0.0,0.9999999999999998,0.0
198,453,0.0,0.9999999999999999,0.0
199,454,0.0,1.0,0.0
200,455,0.0,0.9999999999999999,0.0
201,456,0.0,0.9999999999999999,0.0
202,457,0.0,1.0,0.0
203,458,0.0,0.9999999999999999,0.0
204,459,0.0,0.9999999999999999,0.0
205,460,0.0,0.9999999999999999,0.0
206,461,0.0,1.0,0.0
207,462,0.0,1.0,0.0
208,463,0.0,0.9999999999999999,0.0
209,464,0.0,1.0,0.0
210,465,0.0,1.0,0.0
211,466,0.0,0.9999999999999999,0.0
212,467,0.0,0.9999999999999999,0.0
213,468,0.0,1.0,0.0
214,469,0.0,1.0,0.0
215,470,0.0,1.0,0.0
216,471,0.0,1.0,0.0
217,472,0.0,1.0,0.0
218,473,0.0,0.9999999999999999,0.0
219,474,0.0,1.0,0.0
220,475,0.0,0.9999999999999999,0.0
221,476,0.0,1.0,0.0
222,477,0.0,0.9999999999999998,0.0
223,478,0.0,1.0,0.0
224,479,0.0,1.0,0.0
225,480,0.0,0.9999999999999998,0.0
226,481,0.0,1.0,0.0
227,482,0.0,0.9999999999999999,0.0
228,483,0.0,1.0,0.0
229,484,0.0,1.0,0.0
230,485,0.0,1.0,0.0
231,486,0.0,0.9999999999999999,0.0
232,487,0.0,0.9999999999999998,0.0
233,488,0.0,1.0,0.0
234,489,0.0,1.0,0.0
235,490,0.0,0.9999999999999999,0.0
236,491,0.0,1.0,0.0
237,492,0.0,1.0,0.0
238,493,0.0,1.0,0.0
239,494,0.0,0.9999999999999998,0.0
240,495,0.0,1.0,0.0
241,496,0.0,0.9999999999999999,0.0
242,497,0.0,0.9999999999999999,0.0
243,498,0.0,0.9999999999999999,0.0
244,499,0.0,1.0,0.0
245,500,0.0,0.9999999999999998,0.0
246,501,0.0,0.9999999999999999,0.0
247,502,0.0,1.0,0.0
248,503,0.0,1.0,0.0
249,504,0.0,1.0,0.0
250,505,0.0,0.9999999999999999,0.0
251,506,0.0,0.9999999999999999,0.0
252,507,0.0,1.0,0.0
253,508,0.0,0.9999999999999998,0.0
254,509,0.0,1.0,0.0
255,509,0.0,0.9999999999999999,0.0
256,257,-97.92415219615893,0.13456730357322946,4.440892098500626e-16
257,258,-97.92415219615896,1.0004582982793964,-2.220446049250313e-16
258,259,-97.92415219615886,0.04013811860767533,6.661338147750939e-16
259,260,-97.92415219615887,1.0004607576846158,-4.440892098500626e-16
260,261,-97.92415219615879,0.13485250740411792,-1.9984014443252818e-15
261,262,-97.92415219615891,1.0001201644511606,-3.9968028886505635e-15
262,263,-97.92415219615899,0.011223482167103043,-1.7763568394002505e-15
263,264,-97.92415219615906,1.0001201647074442,-1.9984014443252818e-15
264,265,-97.92415219615894,0.13485258443838716,-8.881784197001252e-16
265,266,-97.92415219615907,1.0004608084233035,-1.3322676295501878e-15
266,267,-97.92415219615891,0.040139513991974726,-2.6645352591003757e-15
267,268,-97.92415219615901,1.0004589379203872,-3.552713678800501e-15
268,269,-97.92415219615918,0.1346359913782712,-8.881784197001252e-16
269,270,-97.92415219615917,1.0000315948705398,-3.1086244689504383e-15
270,271,-97.92415219615914,0.0031382889259932408,-1.3322676295501878e-15
271,272,-97.92415219615918,1.0000315948705167,-3.552713678800501e-15
272,273,-97.92415219615918,0.13463599137827909,-2.220446049250313e-15
273,274,-97.92415219615899,1.0004589379204147,-2.220446049250313e-15
274,275,-97.92415219615904,0.0401395139921058,-1.3322676295501878e-15
275,276,-97.92415219615923,1.0004608084233193,1.1102230246251565e-15
276,277,-97.92415219615901,0.13485258444496706,-2.6645352591003757e-15
277,278,-97.92415219615897,1.0001201647128748,-2.6645352591003757e-15
278,279,-97.92415219615914,0.011223482297335352,-3.3306690738754696e-15
279,280,-97.92415219615904,1.0001201645191315,-3.3306690738754696e-15
280,281,-97.92415219615914,0.13485252626945596,-8.881784197001252e-16
281,282,-97.9241521961592,1.0004607701008603,-6.661338147750939e-16
282,283,-97.92415219615904,0.04013846034300681,-2.6645352591003757e-15
283,284,-97.9241521961591,1.0004584547643183,-1.9984014443252818e-15
284,285,-97.9241521961591,0.13458414469296073,-3.1086244689504383e-15
285,286,-97.92415219615916,1.0000084208493443,-6.661338147750939e-16
286,287,-97.92415219615917,0.0008742064080243079,-8.881784197001252e-16
287,288,-97.92415219615901,1.0000084208493383,-8.881784197001252e-16
288,289,-97.9241521961591,0.13458414469295973,-2.220446049250313e-16
289,290,-97.9241521961591,1.0004584547643232,-1.1102230246251565e-15
290,291,-97.92415219615914,0.04013846034295483,-1.7763568394002505e-15
291,292,-97.92415219615924,1.0004607701007728,-6.661338147750939e-16
292,293,-97.9241521961592,0.1348525262694908,3.3306690738754696e-16
293,294,-97.92415219615916,1.000120164519229,-2.220446049250313e-15
294,295,-97.92415219615913,0.011223482297334463,-1.3322676295501878e-15
295,296,-97.9241521961591,1.000120164712777,-2.6645352591003757e-15
296,297,-97.92415219615916,0.1348525844449145,-1.5543122344752192e-15
297,298,-97.92415219615917,1.0004608084234041,-1.7763568394002505e-15
298,299,-97.92415219615913,0.040139513992148844,3.3306690738754696e-16
299,300,-97.924152196159,1.0004589379203945,-1.9984014443252818e-15
300,301,-97.9241521961592,0.13463599137828997,-1.7763568394002505e-15
