site,Sx,Sy,Sz
158,2.0948954376764917e-15,0j,9.22081421633747e-15
159,1.0675592985609375e-20,0j,1.304512053934559e-15
160,-3.1363800445660672e-15,0j,6.994405055138486e-15
161,5.9396931817445875e-15,0j,1.3766765505351941e-14
162,-2.2651585468436153e-14,0j,4.9289999165536e-15
163,4.2697411505740143e-16,0j,1.995625886763719e-14
164,5.315951671913677e-15,0j,-9.744483865647968e-15
165,-1.4437634234302187e-16,0j,9.46465128492946e-15
166,6.574161516819527e-17,0j,-9.863507817047954e-15
167,-1.144439449925086e-17,0j,7.688294445529209e-15
168,-4.181401861043377e-15,0j,-1.2434497875801753e-14
169,-1.6451719764195303e-16,0j,8.132383655379272e-15
170,-3.499370931914214e-15,0j,-2.2077066737236084e-15
171,2.0430106462506663e-16,0j,7.16093850883226e-15
172,1.936385080059111e-14,0j,-1.3782242491364172e-14
173,-4.1963960382756724e-16,0j,-2.55351295663786e-15
174,-1.5931293827556314e-14,0j,-4.290404836959638e-15
175,1.6403545188836688e-14,0j,-7.077671781985373e-15
176,-1.4156790402123775e-15,0j,-1.1379786002407855e-14
177,5.950656726227594e-16,0j,7.771561172376096e-15
178,1.6329819441107674e-14,0j,-1.669573767432153e-14
179,-6.855627177060342e-15,0j,-1.9290125052862095e-15
180,7.788461173739714e-15,0j,-5.62824255517097e-15
181,6.022959908591474e-15,0j,-5.800915303666443e-15
182,-6.576933008622943e-15,0j,4.015993267103557e-15
183,1.838956174092369e-17,0j,3.524958103184872e-15
184,8.548717289613705e-15,0j,5.440092820663267e-15
185,-6.411537967210279e-15,0j,-6.800116025829084e-15
186,1.0530855701351705e-14,0j,1.5839516113655416e-14
187,-2.4744654067803654e-16,0j,-5.745404152435185e-15
188,-3.356567953270717e-15,0j,-1.4141533538798712e-14
189,-1.4810159324504628e-17,0j,1.3822276656583199e-14
190,1.528646164569005e-16,0j,-1.051746477528325e-14
191,1.470945298005844e-19,0j,5.218048215738236e-15
192,1.0731195714833429e-16,0j,3.552713678800501e-15
193,-2.333448421094392e-16,0j,-2.1371793224034263e-15
194,-6.336077496005288e-15,0j,-1.1436693063936187e-14
195,1.3718704432408258e-16,0j,1.04638520070921e-14
196,1.4861565754073491e-15,0j,-7.188802504665137e-15
197,-1.288281187092576e-16,0j,1.2073675392798577e-14
198,-3.5093455919010808e-15,0j,-1.0728180496744066e-14
199,6.8833827526759706e-15,0j,1.1407541578023483e-14
200,8.522438939458088e-15,0j,4.413136522884997e-15
201,-2.735495550135723e-17,0j,6.189493362285248e-15
202,7.93874514737336e-15,0j,-1.8536479182108476e-14
203,-1.4860544549976458e-16,0j,2.5451862839531714e-14
204,5.366096022391131e-15,0j,-5.888383313931711e-15
205,-4.023845897799315e-16,0j,4.274358644806853e-15
206,-9.091909354292521e-15,0j,-5.207992240588433e-15
207,1.1268763699945339e-14,0j,-3.191891195797325e-15
208,5.824493312786214e-15,0j,3.219646771412954e-15
209,-4.935153244422693e-16,0j,-1.1823875212257917e-14
210,-9.51322354225681e-15,0j,7.357179102052136e-15
211,3.5568067537598705e-16,0j,-1.970645868709653e-15
212,5.94771627782098e-15,0j,-2.12492783785434e-15
213,-1.2184697695261093e-14,0j,-4.2049697057677804e-15
214,6.0942025792356126e-15,0j,-1.5859709379117959e-15
215,-1.6403545188836688e-14,0j,5.925815393936773e-15
216,9.281827693594091e-15,0j,-1.304512053934559e-15
217,-1.497554780141195e-16,0j,3.969047313034935e-15
218,1.1368839990379823e-15,0j,8.353560898566315e-15
219,-9.596539185256401e-17,0j,-8.465450562766819e-15
220,-5.455786647109995e-15,0j,9.930180592740423e-15
221,7.882583474838611e-15,0j,-4.829470157119431e-15
222,-1.403429239141274e-14,0j,-5.215337710307022e-15
223,1.4349632593280148e-14,0j,1.1213252548714081e-14
224,-2.350348716107127e-15,0j,-3.0531133177191805e-16
225,-1.1007972188270535e-16,0j,-7.271960811294775e-15
226,-2.1191964320820777e-15,0j,4.409667075933044e-15
227,6.291035460243856e-17,0j,-2.3869795029440866e-14
228,-7.096916370546991e-15,0j,7.783812656925182e-15
229,2.8806955261408314e-16,0j,-1.915134717478395e-15
230,6.971094708430048e-15,0j,-8.220149821241973e-15
231,-1.149080830487037e-14,0j,1.2434497875801753e-14
232,2.704938730684406e-15,0j,8.132383655379272e-15
233,-1.6826600664782295e-17,0j,6.744604874597826e-15
234,2.738423637155263e-15,0j,5.191160001860595e-16
235,-1.0075273948473296e-14,0j,-7.271960811294775e-15
236,6.851751154293706e-15,0j,7.602859314337351e-15
237,-7.521760991835436e-15,0j,-1.7832957333041577e-15
238,5.789639601072594e-17,0j,3.1905901531903424e-15
239,8.471255914829063e-19,0j,-9.853229343548264e-15
240,1.2759390915248296e-15,0j,-2.248201624865942e-15
241,-1.0771018526306963e-16,0j,-9.325873406851315e-15
242,-3.212924717943544e-15,0j,8.243744771020689e-15
243,5.523359547510154e-15,0j,-5.995204332975845e-15
