site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
0,14,0.010265120148226618,0.010265120147334248,0.010265120147316138,1.2332799712022613e-18j,-5.014435047745458e-19j,1.2799686983054614e-13,-3.5236570605778894e-19,-5.149960319306146e-19j,-1.2812507673744256e-13j
1,2,-0.10340318165242818,-0.10340318165242829,-0.10340318165242829,-5.458280312106711e-18j,8.419507495707745e-18j,9.974659986866641e-17,-9.215718466126788e-19,1.3010426069826053e-18j,2.791820594150174e-17j
1,3,0.05367281239940075,0.05367281239940102,0.05367281239940102,7.54198136235229e-18j,-6.3358064454621665e-18j,1.4156427766143231e-15,-9.75781955236954e-19,1.0842021724855044e-19j,1.092984210082637e-15j
1,4,-0.03328389606302332,-0.0332838960630236,-0.03328389606302352,-7.945169045245337e-18j,5.9326187625691196e-18j,7.947201924318748e-17,6.505213034913027e-19,4.336808689942018e-19j,7.39425881635114e-17j
1,5,0.027128867547480964,0.02712886754748047,0.027128867547480562,-9.873016033196125e-18j,1.094366567852556e-17j,1.448494102440634e-16,-1.0842021724855044e-18,4.336808689942018e-19j,-1.1145598333150986e-16j
1,6,-0.020203628539074585,-0.02020362853907423,-0.020203628539074286,8.649900457360915e-18j,-8.697334302407156e-18j,-1.7840546748248975e-16,2.2768245622195593e-18,3.848917712323541e-18j,8.803721640582296e-17j
1,7,0.016869784708550037,0.016869784708549374,0.016869784708549374,3.2526065174565133e-18j,-3.686287386450715e-18j,1.34332649170954e-16,-1.6263032587282567e-18,4.87890977618477e-18j,-2.620516650897464e-16j
1,8,-0.014534755376170874,-0.014534755376188188,-0.014534755376188608,-1.4074299451577454e-17j,1.3681276164051459e-17j,2.509548558543573e-15,8.944667923005412e-19,-1.0299920638612292e-18j,-2.374267232471694e-15j
1,9,0.011389354274437534,0.011389354274709164,0.011389354274714625,3.645629804982509e-18j,-3.2932640989247197e-18j,-3.9167887683211333e-14,-6.505213034913027e-19,4.9873299934333204e-18j,3.8914834896153216e-14j
1,10,-0.011288305981926908,-0.011288305982405579,-0.011288305982415685,-6.776263578034403e-21j,-6.776263578034403e-21j,6.999457437262269e-14,1.5449880957918438e-18,1.6805133673525319e-18j,-7.184213618970092e-14j
1,11,0.007848170569324448,0.00784817056783133,0.007848170567801122,1.6534083130403943e-18j,-1.81603863891322e-18j,2.1464991242781117e-13,-1.0842021724855044e-18,-8.673617379884035e-19j,-2.143634662138405e-13j
1,12,-0.009073752181446931,-0.009073752176409535,-0.009073752176307402,-5.488773498207866e-19j,1.1858461261560205e-18j,-7.241828122415972e-13,3.2526065174565133e-19,3.7947076036992655e-19j,7.242822877909227e-13j
1,13,0.004999052469806844,0.004999052464370749,0.004999052464260538,6.098637220230962e-19j,-2.574980159653073e-19j,7.81635024174783e-13,-1.4907779871675686e-19,-2.846030702774449e-19j,-7.81700157620295e-13j
1,14,-0.007178959744378926,-0.0071789597424077615,-0.007178959742367783,2.270048298641525e-19j,-6.403569081242511e-19j,-2.8324944386509676e-13,3.2526065174565133e-19,0j,2.8336371877407673e-13j
2,3,-0.17832605120017261,-0.17832605120017261,-0.1783260512001725,-3.516880796999855e-17j,4.809791887688819e-17j,-3.558568370531923e-15,4.336808689942018e-19,6.505213034913027e-19j,-3.0101789116887545e-15j
2,4,0.06395980424573262,0.06395980424573294,0.06395980424573287,4.638352419164549e-18j,-9.239435388649908e-18j,-3.0926866970149014e-16,8.673617379884035e-19,-5.421010862427522e-20j,-2.8080836267374565e-16j
2,5,-0.0589158394913005,-0.058915839491299436,-0.05891583949129959,4.098284211995207e-17j,-4.228388472693467e-17j,-2.0448052973076614e-16,5.854691731421724e-18,-1.4094628242311558e-17j,2.3852447794681098e-18j
2,6,0.03728004562924927,0.037280045629248686,0.03728004562924877,-5.3925505553997777e-17j,5.709679690851788e-17j,2.5305278705811673e-16,1.8973538018496328e-18,3.0357660829594124e-18j,-9.915028867379938e-17j
2,7,-0.03320318903976097,-0.03320318903976121,-0.03320318903976121,-7.792703114739563e-18j,6.085084693074894e-18j,-3.426078865054194e-17,3.0357660829594124e-18,3.469446951953614e-18j,2.732189474663471e-16j
2,8,0.026402985288970785,0.02640298528898693,0.026402985288987407,-5.174016055008168e-17j,5.2343248008526744e-17j,-2.4061156712884557e-15,1.734723475976807e-18,1.6263032587282567e-19j,2.124494156985346e-15j
2,9,-0.02149068115749199,-0.021490681157670166,-0.021490681157673743,-2.1819568721270777e-17j,2.3283241654126208e-17j,2.5858872335082772e-14,-3.686287386450715e-18,-1.0842021724855044e-18j,-2.5373149761809266e-14j
2,10,0.020354272246501798,0.02035427224678479,0.020354272246791188,7.826584432629735e-18j,-6.051203375184722e-18j,-4.2251846552737726e-14,-1.6263032587282567e-19,7.047314121155779e-19j,4.6419953384641e-14j
