site1,site2,SxSx,SySy,SzSz,SxSy,SySx,SySz,SzSy,SzSx,SxSz
9,15,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
10,11,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
10,12,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
10,13,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
10,14,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
10,15,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
11,12,2.034333869511781e-18,-6.299449794974232e-19,-8.673617379884134e-19,-9.842890304647241e-21,0.0,6.151806440404481e-22,0.0,-1.6574082652728655e-36,2.1175823681357838e-22
11,13,2.034333869511781e-18,-6.299449794974232e-19,-8.673617379884134e-19,-9.842890304647241e-21,0.0,6.151806440404481e-22,0.0,-1.6574082652728655e-36,2.1175823681357838e-22
11,14,2.034333869511781e-18,-6.299449794974232e-19,-8.673617379884134e-19,-9.842890304647241e-21,0.0,6.151806440404481e-22,0.0,-1.6574082652728655e-36,2.1175823681357838e-22
11,15,2.034333869511781e-18,-6.299449794974232e-19,-8.673617379884134e-19,-9.842890304647241e-21,0.0,6.151806440404481e-22,0.0,-1.6574082652728655e-36,2.1175823681357838e-22
12,13,-7.052348380657688e-13,1.8385177529596292e-13,-2.273736754432331e-13,2.8726839889994203e-15,0.0,-1.7954274931246426e-16,0.0,6.230671273750598e-32,5.551115123125818e-17
12,14,-7.052348380657688e-13,1.8385177529596292e-13,-2.273736754432331e-13,2.8726839889994203e-15,0.0,-1.7954274931246426e-16,0.0,6.230671273750598e-32,5.551115123125818e-17
12,15,-7.052348380657688e-13,1.8385177529596292e-13,-2.273736754432331e-13,2.8726839889994203e-15,0.0,-1.7954274931246426e-16,0.0,6.230671273750598e-32,5.551115123125818e-17
13,14,2.2671486272081824e-07,-7.493489134057631e-08,-5.960464477539074e-08,-1.1708576771965052e-09,0.0,7.317860482478165e-11,0.0,-5.942036796252357e-26,1.4551915228366897e-11
13,15,2.2671486272081824e-07,-7.493489134057631e-08,-5.960464477539074e-08,-1.1708576771965052e-09,0.0,7.317860482478165e-11,0.0,-5.942036796252357e-26,1.4551915228366897e-11
14,15,-0.15515866719342147,0.041763480934904555,-0.015625000000000003,0.0006525543896078837,0.0,-4.078464935049273e-05,0.0,5.738330446664508e-20,3.814697265625001e-06
